"year","renewable","pollution","order","total"
2015,118,2,52,15036
2016,221,16,163,20983
2012,0,0,41,4225
2013,0,0,102,5110
2001,0,0,0,3
2015,88,0,163,18737
2014,0,0,44,4278
2015,0,0,86,7916
2010,4,0,243,14216
2015,2,0,264,15088
2015,0,0,146,8256
2014,0,0,44,4278
2015,0,0,86,7916
2016,0,0,82,6252
2011,27,0,186,38219
2011,19,0,219,48541
2006,0,0,59,12579
2006,1,0,221,14580
2008,5,0,102,14976
2009,7,0,221,15160
2015,5,0,22,3514
2014,130,10,54,12575
2016,74,0,61,5905
2012,145,2,76,18589
2013,94,2,119,9904
2015,1,0,77,8844
2016,0,0,73,6363
2014,166,34,116,25532
2015,68,20,113,7527
2014,38,0,85,2322
2015,178,0,147,3428
2015,3,0,47,5892
2014,0,0,52,1961
2014,0,0,79,1669
2013,0,0,45,3510
2013,0,0,88,3576
2007,1,0,117,8418
2008,0,0,126,5057
2011,1,0,301,14492
2001,0,0,0,3
2011,1,0,144,8506
2001,0,0,0,3
2015,5,0,22,3514
2012,33,2,219,13730
2012,7,1,99,3066
2013,98,11,648,34943
2014,9,0,942,46296
2015,3,0,294,17441
2012,2,0,316,29222
2015,0,0,121,22881
2014,15,0,18,2846
2014,15,0,16,3021
2015,16,0,60,4862
2015,3,0,47,5892
2013,35,0,818,43236
2015,57,2,679,34732
2014,41,0,93,19188
2014,5,0,17,1371
2015,45,0,64,19347
2015,119,0,71,11944
2016,75,0,49,3595
2013,0,0,13,3376
2007,0,0,57,2321
2008,0,0,177,5314
2016,0,0,3,67
