Northeast,Midwest,South,West
CT,IL ,DE ,AZ 
ME,MI ,DC ,CO 
MA ,OH ,MD ,MT 
NH ,WI ,NC ,NV 
RI ,IA ,TX,NM 
NJ ,KS ,,CA 
NY ,MN ,,HI 
PA,MO,,OR 
,,,WA
